Name,10 wickets in match,100s/50s,2001–2005,2001–2007,2006–,5 wickets in innings,allegiance,alma mater,awards,balls bowled,based in,batting,batting average,battles/wars,best bowling,born,bowling,bowling average,cabinet,catches/stumpings,cause of death,children,citizenship,civilian awards,commands,committees,competition,current team,date of birth,died,domestic partner,education,event(s),father,full name,known for,last odi,last test,matches,military awards,mother,national side,nationality,net worth,nickname(s),notable award(s),notable awards,occupation,odi debut (cap 60),other politicalaffiliations,parents,place of birth,playing position,political party,predecessor,profession,rank,relations,relatives,religion,residence,resting place,runs scored,salary,service/branch,sport,spouse(s),test debut (cap 107),top score,unit,website,wickets,years,years of service
MirShabbirBijarani,,,,,,,,,,,,,,,, (1973-04-20) april 20| 1973 (age 45),,,,,,,,,,,,,,,,,,hazar khan bijarani,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
MirSikandarAli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,balochistan awami party,,,,,,,,,,,,,,,,,,,,
MirzaMuhammadAfridi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,ayub afridi (cousin)[1],,,,,,,,,,,,,,,,
MithaKhanKakar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoazzamAliKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,grand democratic alliance,,,,,,,,,,,,,,,,,,,,
MohammadHidayatullah,,,,,,,,nagpur universitytrinity college| cambridgelincoln's inn,,,,,,,,(1905-12-17)17 december 1905lucknow| united provinces| british india (now in uttar pradesh| india),,,,,,,,,,,,,,18 september 1992(1992-09-18) (aged 86)bombay| maharashtra| india,,,,,,,,,,,,,,,,,,,,,,,,independent,,lawyer| academician,,,,,,,,,,,pushpa shah,,,,,,,
MohammedDaoudKhan,,,,,,,,,,,,,,,,(1909-07-18)18 july 1909kabul| afghanistan,,,,,,7,,,,,,,,28 april 1978(1978-04-28) (aged 68)kabul| afghanistan,,,,,,,,,,,,,,,,,,,,,,,,afghan national revolutionary,,,,,,,,,,,,,hrh princess zamina begum| sister of king zahir shah,,,,,,,
MohsinAttaKhanKhosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MohsinAziz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MohsinDawar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MolviFaiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,jamiat ulema-e islam (f),,,,,,,,,,,,,,,,,,,,
MominaBasit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MominaWaheed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadAamirNawazKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadAbbasJafri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
MuhammadAbdullahWarraich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (q),,,,,,,,,,,,,,,,,,,,
MuhammadAfzal,,,,,,,,,,,,,,,, (1967-09-01) 1 september 1967 (age 51),,,,,,,,,,,,,,,,,100 metres,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,sprinting,,,,,,,,
MuhammadAfzalGill,,,,,,,,,,,,,,,, (1964-02-01) 1 february 1964 (age 54)hasilpur,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuhammadAfzalKhanDhandla,,,,,,,,,,,,,,,, (1964-01-15) 15 january 1964 (age 54),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuhammadAhsanJahangir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadAliAziz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadAliMalkani,,,,,,,,,,,,,,,, (1966-11-22) 22 november 1966 (age 52),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
MuhammadAliRazaKhanKhakwani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadAliSaif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
MuhammadAmeerSultan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadArif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuhammadArshadJaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuhammadArshadMalik,,,,,,,,,,,,,,,, (1973-04-18) 18 april 1973 (age 45)sahiwal,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (nawaz),,,,,,,,,,,,,,,,,,,,
MuhammadAshrafKhanRind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadAsifNakai,,,,,,,,,,,,,,,, (1960-08-28) 28 august 1960 (age 58)kasur,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadAsimNazir,,,,,,,,,,,,,,,, (1975-11-20) 20 november 1975 (age 43),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadAslamAbro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadAslamKhanRaisani,,,,,,,,,,,,,,,, (1955-07-05) 5 july 1955 (age 63)sarawan| balochistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,tumandar of raisani tribe| politician| chief of sarawan,,,,,,,,,,,,,,,,,,
MuhammadAteeqShaikh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
MuhammadBasharatRaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadEjazHussain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadFarooqAzamMalik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadHashimDogar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadHashimKakar,,,,,,,,,,,,,,,, (1963-09-18) 18 september 1963 (age 55),,,,,,,,,,,,,,,,,,,,,,,,,,, pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuhammadHussainKhan,,,,,,,,,,,,,,,, (1962-06-01) 1 june 1962 (age 56)mirpurkhas,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,mutahida quami movement,,,,,,,,,,,,,,,,,,,,
MuhammadIbrahimKhan(politician),,,,,,,,,,,,,,,,(1915-04-10)april 10| 1915poonch| jammu and kashmir| dogra,,,,,,,,,,,,,,july 31| 2003(2003-07-31) (aged 88)[1]islamabad| pakistan,,,,,,,,,,,,,,,,,,,,,,,,muslim conference| jammu kashmir peoples party,,,,"
sardar jawaid ibrahim khan (son)
sardar khalid ibrahim khan (son)(mla)
uft-e-huma (daughter)
sardar farooq ibrahim khan (son)
noreen farooq khan (daughter-in-law)(mna)
",,,,,,,,,zaib-un-nisa khan,,,,,,,
MuhammadIdrees,,,,,,,,,,,,,,,,nowshera district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadIlyasKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuhammadIsmail,,,,,,,,,,,,,,,,(1896-06-05)5 june 1896tirunelveli| tamil nadu,,,,,,jamal miakhan (son),,,,,,,,5 april 1972(1972-04-05) (aged 75)chennai| india,,,,,,,,,,,,,,,,,,,,,,,,muslim league (till 1947)indian union muslim league,,,,,,,chennai| india,,,,,,jamal hameeda bi,,,,,,,
MuhammadJahanzaibKhanKhichi,,,,,,,,,,,,,,,, (1973-01-07) 7 january 1973 (age 45)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadJamaludDin,,,,,,,,,,,,,,,, (1961-01-01) 1 january 1961 (age 57),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida majlis-e-amal,,,,,,,,,,,,,,,,,,,,
MuhammadJavedAbbasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuhammadJavedHanifKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
MuhammadJunaidAnwarChaudhry,,,,,,,,,,,,,,,, (1967-06-27) 27 june 1967 (age 51),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuhammadKamranKhanMulakhail,,,,,,,,,,,,,,,, (1968-01-19) 19 january 1968 (age 50),,,,,,,,,,,,,,,,,,,,,,,,,,, pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuhammadKhanDaha,,,,,,,,,,,,,,,, (1978-08-01) 1 august 1978 (age 40),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuhammadKhanLehri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuhammadMirzaJaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuhammadMohsinKhanLeghari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadMuneebSultanCheema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadNadeemQureshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadNaeemSafdarAnsari,,,,,,,,,,,,,,,, (1982-01-26) 26 january 1982 (age 36)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuhammadNaqib-ur-Rahman,,,,,,,,,,,eidgah sharif,,,,,(1953-01-09)9 january 1953eidgah sharif|( rawalpindi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hazrat khawaja habib ur rehman,,,,,islam| specifically the naqshbandi sufi order,,,,,,,,,,,,,,
MuhammadNawazAbbasi,,,,,,,,,,,,,,,, (1943-06-07) 7 june 1943 (age 75)pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuhammadNawazChohan,,,,,,,,,,,,,,,, (1953-05-13) 13 may 1953 (age 65)gujranwala,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuhammadPervaizMalik,,,,,,,,,,,,,,,, (1947-11-18) 18 november 1947 (age 71)lahore| pakistan,,,,,,ali pervaiz malik (son),,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,malik mohammad qayyum (brother)yasmeen rehman (sister),,,,,,,,,shaista pervaiz (wife)[1],,,,,,,
MuhammadRafiqTarar,,,,,,,,punjab university(ba| llb),,,,,,,, (1929-11-02) 2 november 1929 (age 89)ghakhar mandi|[1] punjab| british raj(now in punjab| pakistan),,,sharif cabinet,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,jurist,,saira afzal tarar (daughter-in-law),,,,,,,,,,,,,,,,
MuhammadRashidShah,,,,,,,,,,,,,,,, (1979-02-27) 27 february 1979 (age 39)kingri,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (f),,,,,,,,,,,,,,,,,,,,
MuhammadRazaHussainBukhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadRiazHaider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadRiazKhan,,,,,,, pakistan,,,,,,,,,muhammad riaz khan,,,,,,,,,adjutant-general of the pakistan army director-general of inter-services intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, general,,,,,,,, pakistan army,,,,,,,,,
MuhammadSafdarShakir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuhammadSaif-ud-DinKhosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuhammadSaleemRajput,,,,,,,,,,,,,,,, (1968-03-28) 28 march 1968 (age 50)sukkur,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,mutahida quami movement,,,,,,,,,,,,,,,,,,,,
MuhammadShabbirQureshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadShaharyarKhanMahar,,,,,,,,,,,,,,,, (1976-02-06) 6 february 1976 (age 42)shikarpur| sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (f),,,,,,,,,,,,,,,,,,,,
MuhammadSibtainKhan,,,,,,,,,,,,,,,, (1958-08-30) 30 august 1958 (age 60)mianwali,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadTahirPervaiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuhammadTalhaMahmoodAryan,,,,,,,,punjab university,,,,,,,,november 1| 1962islamabad| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,, pakistan,,,,,,,,,,,jamiatul-ulema-e-islam (f),,,,,,,,,,,,,,,,,,,,
MuhammadTariqTarar,,,,,,,,bahauddin zakariya university,,,,,,,,13 may 1961phalia| punjab| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan tehreek e insaaf parliamentarians,,agriculturist,,,,,,,,,,,,,,,,,,
MuhammadWajahat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
MuhammadWarisAziz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadYounusSoomro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,tehreek-i-labbaik pakistan,,,,,,,,,,,,,,,,,,,,
MuhammadZahoor(politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MuhammadZia-ul-Haq,,,,,,, british india pakistan,st. stephen's college| delhiunited states army command and general staff college,,,,,,world war iiindo-pakistani war of 1965black september in jordansoviet–afghan war,,"(1924-08-12)12 august 1924jalandhar| punjab| british india
(now in punjab|india)",,,,,,5 (including muhammad ijaz-ul-haq),,,2nd independent armoured brigade1st armoured divisionii strike corpschief of army staff,,,,,17 august 1988(1988-08-17) (aged 64)bahawalpur| punjab| pakistan,,,,,,,,,,,,,british indian (1924–1947) pakistani (1947–1988),,mard-e-momin,,,,,,,,,,,, general,,,,,faisal mosque,,, british indian army pakistan army,,begum shafiq zia (1950–1988; his death)[1],,,22 cavalry| army armoured corps (pa – 1810),,,,1943–1988
MuhibUllahKhan,,,,,,,,,,,,,,,, (1968-12-20) 20 december 1968 (age 49)swat district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MujahidAnwarKhan,,,,,,, pakistan,,nishan-e-imtiaz(military) hilal-e-imtiaz (military) sitara-e-imtiaz (military) tamgha-e-imtiaz,,,,,2001 india-pakistan standoff2008 indo-pakistan standoffwar in north-west pakistan,,1962 khyber pakhtunkhwa| pakistan [1]pakistan,,,,,,,,,dcas (operations)dcas (support)acas (operations) director general air force strategic command  director general c4i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,air chief marshal(general),,,,,,,, pakistan air force,,,,,,,,,1983– present
MukeshKumarChawla,,,,,,,,,,,,,,,, (1974-02-27) 27 february 1974 (age 44)jacobabad district| karachi|sindh| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,bhagwandas chawla (father),,,pakistan peoples party parliamentarians,,,,,ratna chawla (sister),,,,,,,,,,,,,,,
MukhtiarAhmadJunejo,,,,,,,,,,,,,,,,(1930-09-02)2 september 1930sindh| pakistan,,,,,,,,,,,,,,13 june 2017(2017-06-13) (aged 87),,,,,,,,,,,,, pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MunawarAliWassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manzoor wassan[1],,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
MuneebulHaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuniraYaminSatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MunirKhanOrakzai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida majlis-e-amal,,,,,,,,,,,,,,,,,,,,
MunirMasihKhokhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MuradRaas,,,,,,,,,,,,,,,, (1969-06-06) 6 june 1969 (age 49)gujrat,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MusadikMalik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MushahidHussain,,,,,,,,f.c. college university(ba in journalism)georgetown university(ms in foreign service),,,,,,,,mushahid hussain syed1952 (age 65–66)sialkot| punjab| pakistan,,,,,,, pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan muslim league (n),,journalist| politician|,,,,,,,,,,,,,,,,,,
MushahidUllahKhan,,,,,,,,,,,,,,,,,,,,,,rida khan (daughter)[1],,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MushtaqAhmedGhani,,,,,,,,,,,,,,,, (1956-10-30) october 30| 1956 (age 62),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MustafaNawazKhokhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
NadeemAhmedSiddiqui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
NadiaSher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
NaeemAhmedKharal,,,,,,,,,,,,,,,, (1957-01-19) 19 january 1957 (age 61)khairpur district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
NaeemAkhtarAfghan,,,,,,,,,,,,,,,, (1963-06-29) 29 june 1963 (age 55),,,,,,,,,,,,,,,,,,,,,,,,,,, pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NafisaShah,,,,,,,,,,,,,,,, (1968-01-20) 20 january 1968 (age 50),,,,,,,pakistani,,,,,,,,,,,qaim ali shah[1],,,,,,,,,,,,,,,,,,,,pakistan peoples party (ppp),,,,,,,,,,,,,,,,,,,,
NaghmaMushtaq,,,,,,,,,,,,,,,,1968 (age 49–50),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
NajmaHameed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
NaseebullahBazai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NasimHasanShah,,,,,,,,government college university| lahoreuniversity of the punjabuniversity of parishague academy of international law,,,,,,,,(1929-04-15)15 april 1929lahore| british raj(now pakistan),,,,,,,,,,,,,,3 february 2015 (2015-02-04) (aged 85)london| united kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NasirHussainQureshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
NasirHussainShah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
NasirIqbalBosal,,,,,,,,,,,,,,,, (1949-08-09) 9 august 1949 (age 69),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
NasrinTariq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
NasrullahKhanBareach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pashtunkhwa milli awami party,,,,,,,,,,,,,,,,,,,,
NaumanAhmadLangrial,,,,,,,,,,,,,,,, (1968-06-25) 25 june 1968 (age 50)lahore| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
NaumanWazirKhattak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
NaveedAslamKhanLodhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
NaveedQamar,,,,,,,,university of manchesternorthrop universitycalifornia state university| los angeles,,,,,,,, (1955-09-22) 22 september 1955 (age 63)[1][2]karachi| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan peoples party,,,,qamar zaman shah (father),,,,,,,,,,,,,,,,
