Name,1969–1972,1972–1988,1974–1986,1980–1992,1983–1985,1984–1999,1985–1988,1988–1990,1990–1992,1991,1992–1995,1993–1996,1995,1995–1998,1995–2000,1997–1998,1997–1999,2000–2001,2000–2003,2002–2004,2003–2004,2004–2008,2005–2006,2006,2006–2008,2008–2010,2010–2018,2011–2012,2018–,allegiance,alma mater,awards,battles/wars,born,cabinet,children,citizenship,combined total,commands,country represented,current team,date of birth,denomination,died,domestic partner,education,ethnicity,father,former choreographer,former coach,free skate,full name,height,house,known for,mother,nationality,net worth,nickname(s),number,occupation,ordination,other politicalaffiliations,parents,place of birth,playing position,political party,positions,previous post,previous post,profession,rank,relations,relatives,religion,residence,resting place,retired,salary,service/branch,short program,skating club,spouse(s),total,unit,website,years,years of service,years active
MarielledeSarnez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1951-03-27) 27 march 1951 (age 67)paris| france,,,,,,,,,,,,,,,,,,,,,,,french,,,,,,,,,,modem,,,,,,,,,,,,,,,,,,,,,,
MariyaAhmedDidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1963-08-18) august 18| 1963 (age 55),,1 daughter| 2 sons,,,,,,,,,,,,,,,,,,,,,maldivian,,,,,,,,,,maldivian democratic party,,,,,,,,,,,,,,,,,,,,,,
MariyaGabriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plovdiv universityinstitut d'études politiques debordeaux,,, (1979-05-20) 20 may 1979 (age 39)gotse delchev| bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerb,,,,,,,,,,,,,,,,,,,,,,
MarkRutte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leiden university,,, (1967-02-14) 14 february 1967 (age 51)the hague| netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's party for freedom and democracy,,,,,,,,,catshuis (officially),,,,,,,,,,government website,,,
MartinaAnderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1962-04-16) 16 april 1962 (age 56)[1]derry| northern ireland,,,,,,,,,,,,,,,,,,,,,,,irish,,,,,,,,,,sinn féin,,,,,,,,,,,,,,,,paul kavanagh,,,martinamep.eu,,,
MartinLiao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university college london,,,1957 (age 60–61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barrister,,,,,,,,,,,,,,,,,,
MartyWalsh(politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martin joseph walsh (1967-04-10) april 10| 1967 (age 51)boston| massachusetts| u.s.,,,,,,,,,,,,boston college (ba),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,,,,official website,,,
MarwanHamadeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,saint joseph university,,, (1939-09-11) 11 september 1939 (age 79)baakleen| lebanon,,2,,,,,,,,,,,,,,,,,,,,,lebanese,,,,,,,,,,,,,,,,,nadia tueni (sister)gebran tueni (nephew),,,,,,,,,vanda barakat,,,,,,
MasagosZulkifli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nanyang technological universitynational university of singaporeuniversity of southern california,,, (1963-04-16) 16 april 1963 (age 55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's action party,,,,,,,,,,,,,,,,,,,,,,
MatiaChowdhury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1942-06-30) 30 june 1942 (age 76)pirojpur| british india (now in bangladesh),,,,,,,,,,,,university of dhaka,,,,,,,,,,,,,,,politician,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,bajlur rahman,,,,,,
MatthewCheung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of hong kong,,,november 1950 (age 67–68)british hong kong,,,,,,,,,,,,,,,,,,,,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MauriceLoustau-Lalanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cabinet minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MelvynOng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, singapore,anglo-chinese school (independent)national junior collegelondon school of economics (bsc) (msc),,,singapore,,,,,"
commander| 7th singapore infantry brigade (2010-2011)
head| joint plans and transformation department
chief guards officer (2014-2015)
chief of army (2015-2018)
chief of defence force (2018-present)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, lieutenant-general,,,,,,,,singapore army,,,,,,,,1994–present,
MennoSnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rijksuniversiteit groningen,,, (1970-10-29) 29 october 1970 (age 48)vleuten-de meern,,2,,,,,,,,,,,,,,,,,,,,,dutch,,,,,,,,,,,,,,,,,,,the hague,,,,,,,,,,,,,
MichaelHancock(Coloradopolitician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hastings collegeuniversity of colorado denver,,,1969 (age 48–49)fort hood| texas| u.s.,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,,,,www.hancockformayor.com,,,
MichelleO'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,michelle mary doris (1977-01-10) 10 january 1977 (age 41)fermoy| county cork| ireland,,2,,,,,,,,,,,,,,,,,,,,,irish,,,,,,,,,,sinn féin,,,,,,,,,,,,,,,,paddy o'neill (m. 1995),,,official website,,,
MikeBowron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senior police officer,,,,,,,,,,,,,,,,,,
MikeDuggan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,michael edward duggan (1958-07-15) july 15| 1958 (age 60)detroit| michigan| u.s.,,4,,,,,,,,,,university of michigan (ab| jd),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,patrick duggan (father),,,,,,,,,lori maher,,,campaign website,,,
MikePompeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,michael richard pompeo (1963-12-30) december 30| 1963 (age 54)orange| california| u.s.,,1,,,,,,,,,,united states military academy (bs)harvard university (jd),,,,,,,,,,,,$345|000 (2014)[1],,,,,,,,,republican,,,,,captain,,,,,,,,united states army,,,susan pompeo,,2nd squadron| 7th cavalry regiment4th infantry division,,,1986–1991[2],
MikeRawlings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boston college,,,michael scott rawlings (1954-08-25) august 25| 1954 (age 64)borger| texas| u.s.,,gunnar and michelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,dallas| texas| u.s.,,,,,,,micki rawlings[2],,,official website,,,
M.L.A.M.Hizbullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of madras,,, (1963-02-02) 2 february 1963 (age 55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united people's freedom alliance,,,,,,,,,,,,,,,,,,,,,,
MofazzalHossainChowdhury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jagannath university,,, (1948-02-03) 3 february 1948 (age 70)[1]chandpur,,3,,,,,,,,,,,,,,,,,,,,,bangladeshi,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,parveen chowdhury (rina),,,,,,
MohammadAlGergawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963 (age 54–55)dubai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MohammadHanifAtmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968 (age 49–50)laghman province| afghanistan,,,,,,,,,,,,,,,,,,,,,,,afghan,,,,,,,,,,truth and justice (since 2011),,,,,,,,,,,,,,,,,,,,,,
MohammadJavedPatwary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of dhakajahangirnagar university,,,chandpur district,,,,,,,,,,,,,,,,,,,,,,,bangladeshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MohammadMohaqiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955 (age 62–63)mazar-i-sharif| balkh| afghanistan,,12,,,,,,,,,,,,,,,,,,,,,afghanistan,,,,politician,,,,,,hezbe wahdat (1990–2006)piupa (since 2006),,,,,,,,,kabul| afghanistan,,,,,,,,,,,,,
MohammedbinIbrahimAlMutawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of alexandria,,,1947 (age 70–71),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MohammedbinRashidAlMaktoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1949-07-15) 15 july 1949 (age 69)al shindagha| dubai| trucial states (now united arab emirates),,see below,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
rashid bin saeed al maktoum
latifa bint hamdan al nahyan
",,,,,,,,,,,sunni islam[3],,,,,,,,"
hind bint maktoum bin juma al maktoum (m. 1979)
haya bint al hussein (m. 2004)
",,,,,,
MohammedMasoomStanekzai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cambridge university,,,1958 (1958)logar province| afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MohammedNasim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jagannath college,,, (1948-04-02) 2 april 1948 (age 70)sirajganj district| east bengal| dominion of pakistan,,,,,,,,,,,,,,muhammad mansur ali,,,,,,,,,bangladeshi,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
MonaKeijzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of amsterdam (llm| public law; ma| public administration),,,maria cornelia gezina keijzer (1968-10-09) 9 october 1968 (age 50)edam| netherlands,,5,,,,,,,,,,,,,,,,,,,,,dutch,,,,politician| lawyer| mediator| civil servant,,,,,,christian democratic appeal,,,,,,,,,ilpendam| netherlands,,,,,,,,,,,,,
MoosaManik,,,,"
new radiant sc",,"
* senior club appearances and goals counted for the domestic league only",,,,,,"
club valencia",,,,,"
hurriyya sc","
maldives",,,,,,,,,,,,,,,,,,,,,,,,"
 (1963-12-29) 29 december 1963 (age 54)",,,,,,,,,,"
moosa maniku","
1.78 m (5 ft 10 in)",,,,,,,7.0,,,,,"
malé| maldives","
forward/midfielder",,,,,,,,,,,,,,,,,,,,,"
team",,
MosaddekHossainBulbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of rajshahi,,, (1965-06-05) 5 june 1965 (age 53)boalia| rajshahi district| east pakistan| pakistan,,,,,,,,,,,,,,,,,,,,,,,bangladeshi,,,,,,,,,,bangladesh nationalist party,,,,,,,,,,,,,,,,,,,,,,
MozammelHaque(politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1946-10-01) 1 october 1946 (age 72)dakhina khan| gazipur sadar upazila| gazipur district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
MujibulHaqueMujib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comilla victoria government college,,, (1947-05-31) 31 may 1947 (age 71)comilla| bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh awami league,,,,politician,,,,,,,,,,,,,,,,,,
MurielBowser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muriel elizabeth bowser (1972-08-02) august 2| 1972 (age 46)washington| d.c.| u.s.,,1,,,,,,,,,,chatham university (ba)american university (mpp),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,,,,,,,
MurielPénicaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paris nanterre universityuniversity of strasbourginsead,,, (1955-03-31) 31 march 1955 (age 63)versailles| france,,2,,,,,,,,,,,,,,,,,,,,,french,,,,,,,,,,la république en marche!,,,,,,,,,,,,,,,,,,,,,,
MustafizurRahman(general),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh,,,,(1941-01-20)20 january 1941rangpur| bengal presidency| british india,,,,,,,,,,3 august 2008(2008-08-03) (aged 67)dhaka| bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,general,,,,,,,,bangladesh army,,,,,,,,,
MyriamTelemaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mont fleuri| mahé| seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,people's party,,,,,,,,,,,,,,,,,,,,,,
NabihBerri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1938-01-28) 28 january 1938 (age 80)bo| sierra leone,,,,,,,,,,,,,,,,,,,,,,,lebanese,,,,,,,,,,amal movement,,,,,,,,,,,,,,,,randa berri,,,www.nabihberry.com,,,
NahyanbinMubarakAlNahyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emirati,,,,,,,,,,,,,,,,,"
hamdan bin mubarak al nahyan (brother)
khalifa bin zayed bin khalifa al nahyan (great grandfather)
",,,,,,,,,,,,,,,
NajibBalala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us international university,,, (1967-09-20) 20 september 1967 (age 51)mombasa| kenya,,"
4
nabeelnaeemnailanusaybah
",,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,republican congress,,,,,,,,,,,,,,,,najaah,,,www.najibbalala.com,,,
NajibullahKhwajaOmari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955 (age 62–63)khwaja umari| ghazni province| afghanistan,,,,,,,,,,,,,hazara,,,,,,,,,,afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NancyMcFarlane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,virginia commonwealth university,,, (1956-07-20) july 20| 1956 (age 62)washington| d.c.| u.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent,,,,,,,,,raleigh| north carolina,,,,,,,,,,,,,
NancyPelosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nancy patricia d'alesandro (1940-03-26) march 26| 1940 (age 78)baltimore| maryland| u.s.,,5 (including christine and alexandra),,,,,,,,,,trinity washington university (ba),,,,,,,,,,,,us$26.4 million[1] (2013),,,,,,,,,democratic,,,,,,,thomas d'alesandro jr. (father),,,,,,,,,paul pelosi (m. 1963),,,house websiteparty website,,,
NandoBodha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1954-02-03) 3 february 1954 (age 64)long mountain| british mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,barrister,,,,,,militant socialist movement,,,,,,,,,,,,,,,,,,,,,,
NaomiLong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,queen's university belfast,,,naomi rachel johnston (1971-12-13) 13 december 1971 (age 46)belfast| northern ireland| uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliance,,,,,,,,,,,,,,,,michael long,,,official website,,,
NarayonChandraChanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
NasrallahBoutrosSfeir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1920-05-15) may 15| 1920 (age 98)rayfoun| lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auxiliary bishop of antioch (1961–1986)titular bishop of tarsus dei maroniti (1961–1986),,,,,,,,,,,,,,,,,,,,
"NatalieEvans,BaronessEvansofBowesPark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new hall| cambridge,,, (1975-11-29) 29 november 1975 (age 43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conservative,,,,,,,,,,,,,,,,,,,,,,
NgCheeMeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, singapore,united states air force academytufts university,,, (1968-08-08) 8 august 1968 (age 50),,2 daughters,,,"
commanding officer| 144 squadron
commander| changi air base
deputy head| joint communications and information systems department
head| air plans
director| joint operations
deputy chief of air force
chief of air force (2009–2013)
chief of defence force (2013–2015)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,people's action party,,,,, lieutenant-general,,,,,,,,singapore armed forces,,,michelle,,,,,1986–2015,
NgEngHen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,national university of singapore,,, (1958-12-10) december 10| 1958 (age 59)singapore,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's action party,,,,,,,,,,,,,,,,ivy lim swee lian,,,,,,
NicolasHulot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1955-04-30) 30 april 1955 (age 63)lille| france,,,,,,,,,,,,,,,,,,,,,,,french,,,,journalist| writer| environmentalist| french environment minister,,,,,,,,,,,,,,,hôtel de roquelaure| paris,,,,,,,,,,,,,
NigelDodds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st john's college| cambridgequeen's university belfast,,,nigel alexander dodds (1958-08-20) 20 august 1958 (age 60)derry| county londonderry| northern ireland,,2,,,,,,,,,,,,,,,,,,,,,british,,,,,,,,,,democratic unionist party,,,,politician,,,,,,,,,,,,diane dodds,,,official website,,,
NigelFarage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nigel paul farage (1964-04-03) 3 april 1964 (age 54)downe| kent| england,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,conservative (before 1993)[1],,,,uk independence party (1993–present),,,,,,,,,single street| london| england,,,,,,,gráinne hayes(m. 1988; div. 1997)kirsten mehr (m. 1999),,,official websiteparliament website,,,
NimalSiripaladeSilva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nalanda college| colombo
carey college colombo",,, (1944-09-06) 6 september 1944 (age 74)badulla| sri lanka,,,,,,,,,,,,,,,,,,,,,,,sri lanka,,,,politics,,united people's freedom alliance  (2004 – present) people's alliance  (1994 – 2004),,,,sri lanka freedom party,,,,lawyer,,,,,,,,,,,,,,,,,,
NouraAlKaabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united arab emirates university london business school,,,,,,,,,,,,,,,bachelor of arts in mis,,,,,,,,,,,emirati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NurulIslamNahid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of dhaka,,, (1945-07-05) 5 july 1945 (age 73)beanibazar| sylhet district| assam province| british india,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
ObaidulQuader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of dhaka,,, (1952-01-01) 1 january 1952 (age 66)bara rajapur village| companiganj upazila| noakhali| east bengal| dominion of pakistan,,,,,,,,,,,,ba (political science),,mosharrof hussain,,,,,,,,fazilatunessa,,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,www.obaidulquader.com,,,
OmarAlOlama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,american university in dubaiamerican university in sharjah,,, (1990-02-16) 16 february 1990 (age 28)dubai| united arab emirates,,,,,,,,,,,,,,,,,,,,,,,emirati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OngYeKung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,london school of economics,,, (1969-11-15) 15 november 1969 (age 49)singapore,,,,,,,,,,,,,,,,,,,,,,,singapore,,,,,,,,,,people's action party (2011),,,,,,,,,,,,,,,,diana kuik sin leng,,,,,,
PamelaCharlette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cabinet minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PatrickHarvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manchester metropolitan university,,, (1973-03-18) 18 march 1973 (age 45)vale of leven| dunbartonshire| scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scottish green party,,,,,,,,,,,,,,,,,,,official website,,,
PatrickJanssens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antwerp universitylondon school of economics,,,patrick janssens (1956-09-19) 19 september 1956 (age 62)antwerp| belgium,,,,,,,,,,,,,,,,,,,,,,,belgian,,,,politician,,,,,,sp.a,,,,,,,,,,,,,,,,,,,official website,,,
PatrickMcHenry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1975-10-22) october 22| 1975 (age 43)gastonia| north carolina| u.s.,,,,,,,,,,,,north carolina state universitybelmont abbey college (ba),,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,,,,giulia cangiano,,,,,,
PatrickNip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of hong kongharvard kennedy school,,,1964 (age 53–54),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaulBlokhuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dutch,,,,,,,,,,christian union,,,,,,,,,,,,,,,,,,,,,,
PaulRyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, department of defense medal for distinguished public service,,paul davis ryan jr. (1970-01-29) january 29| 1970 (age 48)janesville| wisconsin| u.s.,,3,,,,,,,,,,miami university (ba),,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,,,,janna little (m. 2000),,,speaker websitehouse website,,,
PerryLim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, singapore,raffles institutionchrist's college| cambridge (b.eng)insead (mba),,,singapore,,,,,"
head| joint plans and transformation
branch head| defence policy office
deputy assistant chief of general staff for operations
commanding officer| 1st battalion singapore guards (2003–2005)
commander| 7th singapore infantry brigade (2009)
commander| 3rd division (2011–2013)
chief of staff (general staff) (2013–2014)
chief of army (2014–2015)
chief of defence force (2015-2018)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, lieutenant-general,,,,,,,,singapore army,,,lynn ng,,,,,1990–2006| 2008-2018,
PhilippeDeBacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1978-12-04) 4 december 1978 (age 39)ekeren| belgium,,,,,,,,,,,,,,,,,,,,,,,belgian,,,,,,,,,,open vld,,,,,,,,,,,,,,,,,,,mep profile,,,
PhyllisKandie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c. 1965 (age 52–53)eldama ravine| kenya,,2,,,,,,,,,,saint mary's university(bachelor of commerce)middlesex university(master of arts)durham university(master of business administration),,,,,,,,,,,kenyan,,,,,,,,,,,,,,,,,,,,,,,,,,julius kandie,,,,,,
PravindJugnauth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of buckinghaminns of court school of lawaix-marseille university,,, (1961-12-25) 25 december 1961 (age 56)la caverne| british mauritius,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,militant socialist movement,,,,,,,anerood jugnauth (father)sarojini ballah (mother),,,,,,,,,kobita ramdanee,,,,,,
PujithJayasundara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pujith senadhi bandara jayasundara15 march 1960kurunegala| sri lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,police officer,,,,,,,,,,,,,,,,,,
QamrulIslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladeshi,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
QasimIbrahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open university malaysia,,, (1951-08-30) august 30| 1951 (age 67)[citation needed]didhdhoo| alif dhaal atoll| maldives,,ibrahim siyad qasim,,,,,,,,,,honorary degree| doctor of entrepreneurship,,,,,,,,,,,,,,,chairman & largest shareholder of villa group,,,,,,maldivian democratic party (2003-2005)dhivehi rayyithunge party (2005-2008)jumhooree party (since 2008),,,,,,,,,,,,,,,,aishath nahula,,,,,,
RahmEmanuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rahm israel emanuel (1959-11-29) november 29| 1959 (age 59)chicago| illinois| u.s.,,3,,,,,,,,,,sarah lawrence college (ba)northwestern university (ma),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,amy merritt rule (m. 1994),,,,,,
RanilWickremesinghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal college| colombouniversity of colombo,,,ranil wickramasinghe (1949-03-24) 24 march 1949 (age 69)colombo| dominion of ceylon(now in sri lanka),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esmond wickremesinghe (father),,,united national party,,,,attorney at law,,,,,115 fifth lane,,,,,,,maitree wickremasinghe,,,official website,,,
RanjithSiyambalapitiya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal college| colombo,,, (1961-05-01) 1 may 1961 (age 57),,shasha siyabalapitiya|malsha siyambalapitiya,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,politics,,,,,,united people's freedom alliance,,,,politician,,,,,,,,,,,,achala siyambalapitiya,,,parliament of sri lanka,,,
RashedKhanMenon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of dhaka,,, (1943-05-18) 18 may 1943 (age 75)faridpur| bengal presidency| british india,,,,,,,,,,,,,,abdul jabbar khan,,,,,,,,,bangladeshi,,,,politician,,,,,,,,,,,,,sadek khan (brother)a.z.m. enayetullah khan (brother)selima rahman (sister)abu zafar obaidullah (brother),,,,,,,,,lutfunnesa khan beauty,,,,,,
RashidAbdullahAlNuaimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cairo university,,,,,,,,,,,,,,,,,,,,,,,,,,emirati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RaychelleOmamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of kent,,, (1962-07-06) july 6| 1962 (age 56),,,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,,,,,advocate,,,,christian,,,,,,,,,,,,,,
RaymondKnops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1971-11-10) 10 november 1971 (age 47),,,,,,,,,,,,,,,,,,,,,,,dutch,,,,politician,,,,,,christian democratic appeal,,,,,,,,,,,,,,,,,,,,,,
ReenatSandhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi school of economics,,, (1964-06-07) 7 june 1964 (age 54)[2],,two,,,,,,,,,,,,,,,,,,,,,indian,,,,diplomat ifs,,,,,,,,,,,,,,,,,,,,,,taranjit singh sandhu,,,,,,
ReginaIp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st. stephen's girls' collegeuniversity of hong kong (ba)university of glasgowstanford university (ma),,,lau suk-yee (1950-08-24) 24 august 1950 (age 68)british hong kong,,cynthia ip,,,,,,,,,,,,,,,,,,,,,chinese,,,,,,,lau fook-senghua caifeng,,,new people's party,,,,,,,,,bowen road| hong kong,,,,,,,sammy ip man-ho (m. 1981–1997),,,,,,
RichardCorbett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trinity college| oxforduniversity of hull,,, (1955-01-06) 6 january 1955 (age 63)southport| lancashire| england,,,,,,,,,,,,farnborough road school| southportinternational school of geneva,,,,,,,,,,,british,,,,,,,,,,labour,,,,,,,,,,,,,,,,,,,http://www.richardcorbett.org.uk/,,,
